,time [s],altitude [m],ground_distance [m],mass [kg],true_airspeed [m/s],equivalent_airspeed [m/s],mach [-],engine_setting,CL [-],CD [-],lift [N],drag [N],thrust [N],thrust_rate [-],thrust_is_regulated,sfc [kg/N/s],slope_angle [rad],acceleration [m/s**2],alpha [rad],slope_angle_derivative [rad/s],name
0,0.0,0.0,0.0,88486.0060610652,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
1,60.0,0.0,0.0,88454.94515183606,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
2,120.0,0.0,0.0,88423.88424260692,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
3,180.0,0.0,0.0,88392.82333337778,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
4,240.0,0.0,0.0,88361.76242414863,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
5,300.0,0.0,0.0,88330.70151491949,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
6,360.0,0.0,0.0,88299.64060569035,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
7,420.0,0.0,0.0,88268.57969646121,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
8,480.0,0.0,0.0,88237.51878723207,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
9,540.0,0.0,0.0,88206.45787800293,0.0,0.0,0.0,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:taxi_out
10,580.54999999998,10.668000000000001,0.0,88124.05787800293,79.3,79.2593976814894,0.23306096703307572,2,0.0,0.0,,0.0,53068.90891708,0.25,False,9.75489850930377e-06,0.0,0.0,0.0,,sizing:takeoff
11,580.54999999998,10.668000000000001,0.0,88124.05787800293,79.3,79.2593976814894,0.23306096703307572,2,0.7915888960986935,0.05693192476002952,,62154.32234192261,53068.90891708,0.25,False,9.75489850930377e-06,0.15213839789933423,0.0,0.0,,sizing:takeoff
12,580.74999999998,13.071617498466466,15.676805252380614,88123.57609203452,79.30915236832188,79.2593976814894,0.23309418644209876,1,0.7915845683767062,0.056931329906773936,,62153.67292244225,193591.6430305932,1.0,False,1.2441276058026829e-05,0.1520925898197914,0.0,0.0,,sizing:main_route:initial_climb
13,580.94999999998,15.474794199452571,31.355529936458332,88123.09438661982,79.31830461057466,79.2593976814894,0.23312740629430406,1,0.7915802413783061,0.05693073515717516,,62153.023616127175,193550.70152890522,1.0,False,1.2441827341191338e-05,0.15204679709437863,0.0,0.0,,sizing:main_route:initial_climb
14,581.1499999999801,17.8775301690942,47.036173982926236,88122.61276173778,79.32745672650357,79.2593976814894,0.2331606265886501,1,0.7915759151033034,0.056930140511205,,62152.374422946676,193509.77395462163,1.0,False,1.244237850609598e-05,0.1520010197146892,0.0,0.0,,sizing:main_route:initial_climb
15,581.3499999999801,20.27982547347928,62.7187373224554,88122.13121736735,79.33660871585364,79.2593976814894,0.2331938473240946,1,0.79157158955151,0.056929545968835496,,62151.72534287014,193468.8603000965,1.0,False,1.2442929552766859e-05,0.15195525767232443,0.0,0.0,,sizing:main_route:initial_climb
16,581.5499999999802,22.68168017864784,78.4032198856948,88121.64975348748,79.3457605783698,79.2593976814894,0.23322706849959482,1,0.7915672647227361,0.05692895153003845,,62151.076375866825,193427.96055769146,1.0,False,1.2443480481230053e-05,0.15190951095889407,0.0,0.0,,sizing:main_route:initial_climb
17,581.7499999999802,25.083094350592077,94.08962160327131,88121.16837007714,79.35491231379682,79.2593976814894,0.23326029011410726,1,0.7915629406167931,0.05692835719478584,,62150.42752190614,193387.07471977515,1.0,False,1.2444031291511633e-05,0.15186377956601563,0.0,0.0,,sizing:main_route:initial_climb
18,581.9499999999803,27.484068055256422,109.7779424057896,88120.6870671153,79.36406392187934,79.2593976814894,0.23329351216658809,1,0.7915586172334921,0.0569277629630496,,62149.778780957444,193346.20277872364,1.0,False,1.2444581983637663e-05,0.15181806348531485,0.0,0.0,,sizing:main_route:initial_climb
19,582.1499999999803,29.884601358537598,125.46818222383212,88120.20584458097,79.37321540236186,79.2593976814894,0.23332673465599266,1,0.7915542945726441,0.05692716883480167,,62149.13015299011,193305.34472692033,1.0,False,1.2445132557634171e-05,0.15177236270842562,0.0,0.0,,sizing:main_route:initial_climb
20,582.3499999999804,32.28469432628469,141.16034098795896,88119.72470245312,79.38236675498871,79.2593976814894,0.2333599575812757,1,0.7915499726340613,0.05692657481001411,,62148.481637973586,193264.50055675601,1.0,False,1.244568301352718e-05,0.15172667722699,0.0,0.0,,sizing:main_route:initial_climb
