# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Wing,0,IGUJSSFLNL,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,14,33
# x,y,z,u,w
1.999999999999999645e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.961865606441009646e+01, 0.000000000000000000e+00, -7.070239753934108584e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
1.907018778352808042e+01, 0.000000000000000000e+00, -1.697056312467097594e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
1.829747039969630862e+01, 0.000000000000000000e+00, -3.040037118081067580e-01, 1.000000000000000000e+00, 1.722603643809275942e-01
1.723994188962605634e+01, 0.000000000000000000e+00, -4.783322498197892236e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
1.584872300625707453e+01, 0.000000000000000000e+00, -6.914152057313212030e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
1.411070884683169702e+01, 0.000000000000000000e+00, -9.312456081435731559e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
1.207424001774455213e+01, 0.000000000000000000e+00, -1.171197629046956123e+00, 1.000000000000000000e+00, 7.836633902842906618e-01
9.859663858204342546e+00, 0.000000000000000000e+00, -1.370702812315866215e+00, 1.000000000000000000e+00, 1.000000000000000000e+00
7.639123663836766553e+00, 0.000000000000000000e+00, -1.484471584996411186e+00, 1.000000000000000000e+00, 1.216336609715709338e+00
5.588832080032403837e+00, 0.000000000000000000e+00, -1.480213716359402021e+00, 1.000000000000000000e+00, 1.415838762408753171e+00
3.839377215552731037e+00, 0.000000000000000000e+00, -1.353190977153729824e+00, 1.000000000000000000e+00, 1.586533649582798411e+00
2.448982830028723967e+00, 0.000000000000000000e+00, -1.136791128210872248e+00, 1.000000000000000000e+00, 1.723464124463156111e+00
1.405608527344541336e+00, 0.000000000000000000e+00, -8.928792167982564365e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
6.678014467427311196e-01, 0.000000000000000000e+00, -6.292396304738244739e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
2.038062994092793012e-01, 0.000000000000000000e+00, -3.252434528783495482e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.193627659307880048e-03, 0.000000000000000000e+00, 3.942771610517180614e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
3.030848329085400472e-01, 0.000000000000000000e+00, 8.772165879284746781e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
9.519794110561645706e-01, 0.000000000000000000e+00, 1.355280902651685437e+00, 1.000000000000000000e+00, 2.172260364380927733e+00
1.978020556067733082e+00, 0.000000000000000000e+00, 1.760880082101204058e+00, 1.000000000000000000e+00, 2.276535875536843889e+00
3.404623554286758669e+00, 0.000000000000000000e+00, 2.021097094430904573e+00, 1.000000000000000000e+00, 2.413466350417201589e+00
5.211287250556175366e+00, 0.000000000000000000e+00, 2.115311171302113102e+00, 1.000000000000000000e+00, 2.584161237591246607e+00
7.325192775012109081e+00, 0.000000000000000000e+00, 2.054820657422652186e+00, 1.000000000000000000e+00, 2.783663390284290440e+00
9.609805911974591552e+00, 0.000000000000000000e+00, 1.853866621275463533e+00, 1.000000000000000000e+00, 3.000000000000000000e+00
1.188409319632855876e+01, 0.000000000000000000e+00, 1.557263950703906330e+00, 1.000000000000000000e+00, 3.216336609715709116e+00
1.397255770227678795e+01, 0.000000000000000000e+00, 1.222491828900212463e+00, 1.000000000000000000e+00, 3.415838762408752949e+00
1.575313532941548189e+01, 0.000000000000000000e+00, 8.989757653412276950e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
1.717734345487561853e+01, 0.000000000000000000e+00, 6.174703747293717182e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
1.825931797367909937e+01, 0.000000000000000000e+00, 3.903682951808264412e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
1.904954239987873876e+01, 0.000000000000000000e+00, 2.170939231244467527e-01, 1.000000000000000000e+00, 3.904044169930655173e+00
1.961024641423622228e+01, 0.000000000000000000e+00, 9.020472739019803898e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
1.999999999999999645e+01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
1.931643637525790780e+01, 7.839999999999996971e-01, 0.000000000000000000e+00, 1.199999999999999956e+00, 0.000000000000000000e+00
1.897005348980691508e+01, 7.839999999999998082e-01, -6.669286617906187986e-02, 1.199999999999999956e+00, 4.173311976788848798e-02
1.847185018000388723e+01, 7.839999999999998082e-01, -1.601683594729834959e-01, 1.199999999999999956e+00, 9.595583006934514658e-02
1.776991510051001910e+01, 7.839999999999995861e-01, -2.871402599375836862e-01, 1.199999999999999956e+00, 1.722603643809275942e-01
1.680919581959734899e+01, 7.840000000000000302e-01, -4.522856134074115797e-01, 1.199999999999999956e+00, 2.765358755368439447e-01
1.554522648247386307e+01, 7.839999999999995861e-01, -6.547338443973690358e-01, 1.199999999999999956e+00, 4.134663504172014781e-01
